id,first_name,last_name,email,phone,address,dob
91,Todd,W.,todd.w.61@gmail.com,(126)-617-1665,"3601 Pine St, Houston, Texas 77001",7/3/1986
92,Willie,O.,willie.o.60@yahoo.com,(656)-938-4591,"8667 Elm St, Los Angeles, California 90001",4/10/1983
93,Frances,R.,frances.r.78@example.com,(146)-376-3386,"8593 Cedar St, Los Angeles, California 90001",12/13/1963
94,Gregory,H.,gregory.h.76@outlook.com,(191)-955-5138,"8156 Walnut St, New York, New York 10001",2/2/1996
95,Lisa,P.,lisa.p.29@gmail.com,(179)-321-7744,"7147 Cherry St, San Jose, California 95101",7/28/1978
96,Jacqueline,A.,jacqueline.a.26@hotmail.com,(543)-756-4462,"5602 Cedar St, Phoenix, Arizona 85001",3/10/1962
97,Shirley,D.,shirley.d.14@outlook.com,(779)-473-7738,"3148 Cedar St, San Antonio, Texas 78201",9/17/1952
98,Nicole,M.,nicole.m.7@outlook.com,(812)-603-6978,"4741 Cherry St, San Diego, California 92101",5/15/1954
99,Mary,G.,mary.g.89@example.com,(709)-547-6927,"2335 Elm St, San Diego, California 92101",5/26/1987
100,Jean,M.,jean.m.93@outlook.com,(312)-703-5662,"742 Fir St, Los Angeles, California 90001",11/8/1960
